要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
DATA-P0-008,機能要件v0.2 §6 P0,Version・差分管理,/enterprise/data/[id],企業,-,値を変更,変更前後/変更者/理由/時刻/影響先を比較できる,data_point_versions,TC-024,実ブラウザ+DB,action-audit「Data Pointの値編集が履歴に残る」PASS（変更理由必須）,PASS,,
EVID-P0-001,機能要件v0.2 §6 P0,Evidence紐付け,/enterprise/data/[id],拠点担当,Evidenceアップロード済み,データへEvidenceを紐付け,ファイル/ページ/表/セル/URL/対象期間/取得日/提出者/機密区分を紐付け,linkEvidenceAction / evidence_links,TC-025,実ブラウザ+DB,action-audit「EvidenceをアップロードしてData Pointへ紐付けられる」PASS,PASS,,page/cellRef/取得日/機密区分をDB保持
EVID-P0-002,機能要件v0.2 §6 P0,Evidence Viewer,/enterprise/evidence/[fileId],全ロール,Evidence紐付け済み,Evidenceを開く,PDF/画像/表を画面内表示し該当箇所ハイライト・メタデータ・関連指標/質問/版を同時確認,evidence/[fileId]/page.tsx / api/files/inline,TC-026,実ブラウザ,"e2e mentions-evidence「画面内で開く→img/iframe表示」「セル参照ハイライト」「断片ハイライト」「メタデータ・関連データ・版の同時表示」PASS",PASS,BUG-023,inline APIはpng/jpeg/gif/webp/pdfのみ許可（XSS対策）
WF-P0-001,機能要件v0.2 §6 P0,入力・レビュー・承認Workflow,/enterprise/data/[id],企業各ロール,-,提出→レビュー→承認/差戻し,状態遷移と複数段階承認経路が動作,data-point-workflow.ts,TC-027,実ブラウザ+DB,vertical-slices「6. 提出→レビュー→承認が動作する」PASS,PASS,,DBトリガでも遷移を強制
WF-P0-002,機能要件v0.2 §6 P0,担当・期限・コメント,/enterprise/workflows /enterprise/data/[id],企業,-,担当/期限/コメント/メンション/差戻し理由,拠点・指標・質問単位で管理,comments.ts resolveMentions/notifyMentions / comment-box.tsx,TC-028,実ブラウザ,"integration comments-mentions 11件+review-fixes 4件PASS（同名衝突は全員へ通知／開示回答は disclosure.read を要求／遷移コメントも2000字検証）/ e2e mentions-evidence「@メンション→ハイライト表示→通知作成」PASS",PASS,BUG-024/044/045/046,メンションは氏名の正規化一致（同名は全員へ通知）。本人へは通知しない
ALERT-P0-001,機能要件v0.2 §6 P0,統合アラートセンター,/enterprise/alerts,企業,-,アラート一覧を開く,未提出/期限超過/異常値/Evidence不足/承認後変更/質問更新/保証依頼を重要度別に集約し対象へ遷移,alerts画面,TC-029,実ブラウザ,画面描画+リンク遷移をクロールで確認,PASS,,
DASH-P0-001,機能要件v0.2 §6 P0,企業向けホーム,/enterprise/dashboard,企業,-,ホーム表示,本日の対応/期限超過/回収率/承認率/データ品質/開示準備度/重要アラート/拠点遅延を一画面,dashboard/page.tsx,TC-030,実ブラウザ,KPI7種+拠点別進捗を確認。KPIクリックでFilter付き遷移21本を検証,PASS,,
DQ-P0-001,機能要件v0.2 §6 P0,基本バリデーション,/enterprise/data,企業,-,検証実行,必須/型/範囲/単位/計算式/前年差/比率整合/重複/欠損/分子分母をエラーと警告で区別,src/lib/validation/,TC-031,unit,validation.test.ts 10件PASS（異常Fixtureを実際に検出）,PASS,,検証結果をDBへmaterialize
DQ-P0-002,機能要件v0.2 §6 P0,人的資本等の異常検知,/enterprise/data,企業,-,異常値を確認,女性役員比率等で打ち間違い候補と理由を提示,validation rules + anomalyExplanation,TC-032,unit+実OpenAI,「女性役員数>役員総数」検出+anomalyExplanation実接続PASS,PASS,,
GHG-P0-001,機能要件v0.2 §6 P0,Scope3 Category 1算定,/enterprise/ghg,企業,-,Cat.1算定,取引先/品目/金額/数量/単位を抽出し排出係数へマッピングして算定,ghg画面 + emission_factors,TC-033,実ブラウザ,Cat.1内訳が表示される,PASS,,架空係数（バッジ表示）。Cat.1のみ
GHG-P0-002,機能要件v0.2 §6 P0,Cat.1算定根拠・再計算,/enterprise/ghg,企業,-,再計算,活動量/通貨換算/係数/係数年度/算定式/除外/手動補正/承認者を保存し再現可能,data_point_calculations,TC-034,実ブラウザ+DB,算定内訳が保存・表示される,PASS,,
CDP-P0-001,機能要件v0.2 §6 P0,質問書マスター・年度Version,/enterprise/disclosures/cdp,企業,-,CDP一覧表示,年度別管理と前年差分を新規/変更/廃止で表示,disclosure_framework_versions,TC-035,実ブラウザ,新/変バッジと年度版を確認,PASS,,
CDP-P0-002,機能要件v0.2 §6 P0,企業別適用質問判定,/enterprise/disclosures/cdp,企業,-,適用判定を実行,適用/非適用/要確認を判定し判定根拠を表示,src/lib/services/disclosure-applicability.ts,TC-036,実ブラウザ+integration,disclosure-check.spec「適用判定を実行し判定と根拠が表示される」+ integration 13件（4演算子・要確認→適用→非適用の遷移・再現性・テナント分離）PASS,PASS,BUG-025,規則ベースで実装（AI判定にしない＝根拠が再現し監査法人へ説明できる）。根拠はバッジのtitleで表示
CDP-P0-003,機能要件v0.2 §6 P0,過去回答Import・構造化,/enterprise/disclosures/cdp/import,企業,-,過去回答をImport,Excel/Word/PDF/CSVを質問単位に分解し構造化,src/lib/services/disclosure-import.ts + imports/parsers.ts parseDocx,TC-037,実ブラウザ+実ファイル,disclosure-import.spec 4件（実CSV・実Word往復・不正ファイル・権限）+ unit 18件 + integration 11件 PASS,PASS,BUG-026,Word(.docx)はNode標準zlibでZIP展開して実装（依存追加なし）。プレビューで人が確認してから保存し当年度の回答本文は変更しない
CDP-P0-004,機能要件v0.2 §6 P0,前年回答マッピング・Carry Forward,/enterprise/disclosures/cdp/[id],企業,-,前年差分で回答,継続/新規/変更/要更新に分類し前年差分中心で回答,cdp画面 YoY Diff,TC-038,実ブラウザ,YoY Diffと「前年差分だけ回答」Filterを確認,PASS,,
CDP-P0-005,機能要件v0.2 §6 P0,AI回答ドラフト,/enterprise/disclosures/cdp/[id],サステナ担当,承認済みデータあり,ドラフトを生成,承認済みデータ/過去回答/Evidenceを根拠に回答案と更新理由を生成,cdpDraftGeneration,TC-039,実OpenAI,実接続で生成・参照元4件・confidence82%・Version履歴にAI由来記録,PASS,,gpt-5.6-terra
CDP-P0-006,機能要件v0.2 §6 P0,不足・陳腐化・矛盾チェック,/enterprise/disclosures/cdp,企業,-,整合チェックを実行,5種の指摘（不足情報/古い記述/年度不一致/回答間矛盾/Evidence不足）を検出し画面に表示,src/lib/services/disclosure-check.ts,TC-040,実ブラウザ+integration,disclosure-check.spec「整合チェックを実行して指摘を表示できる」（実ブラウザで11件検出）+ integration 6件（AI Run記録・回答を書き換えない・テナント分離）PASS,PASS,BUG-027,画面から実行し結果は?check=<aiRunId>で読み直せる。AIは指摘のみで確定しない
CDP-P0-007,機能要件v0.2 §6 P0,質問単位Workflow,/enterprise/disclosures/cdp/[id],企業,-,質問ごとの承認,担当/回答/レビュー/承認/コメント/添付/履歴/ステータスを管理,disclosure_responses + versions,TC-041,実ブラウザ,vertical-slices「7. CDPのAIドラフトを作成し、人が編集してから承認する」PASS,PASS,,
DISC-P0-001,機能要件v0.2 §6 P0,SSBJ/CDP基本マッピング,/enterprise/data/[id],企業,-,開示マッピング確認,承認済みデータをSSBJ項目とCDP質問へ紐付け再利用,disclosure_mappings,TC-042,実ブラウザ,開示マッピングカードから両基準へ遷移（BUG-012修正済み）,PASS,BUG-012,SSBJリンク404を本QA前に修正済み
DISC-P0-002,機能要件v0.2 §6 P0,開示ドラフト・Export,/enterprise/reports,企業,-,Export実行,SSBJ開示文/統合報告書説明文/表をWord/Excel/CSVへ出力,src/lib/exports/,TC-043,実ブラウザ+API,CSV/XLSX/DOCX生成のunit 15件+E2Eダウンロード検証PASS,PASS,,CDP一問一答転記モードはExport形式として提供
AI-P0-001,機能要件v0.2 §6 P0,質問単位/全体AI Copilot,/enterprise/ai,全ロール,-,AIへ対話で質問,権限内情報に限定した対話支援,src/lib/services/copilot.ts askCopilot / src/lib/security/safe-link.ts / ai/page.tsx 対話カード,TC-044,実ブラウザ+実OpenAI,"integration copilot 8件PASS（権限内スナップショット限定・会話継続・他人の会話は読めない）/ unit safe-link 15件PASS（..・%2e%2e・javascript:・外部URLを拒否）/ e2e auth-copilot「実データ回答+出典+会話継続+リロード復元」「不明事項に推測で答えない」PASS / 実OpenAI confidence 0.99",PASS,BUG-028/043,会話はaiRuns(Provenance)へ記録。回答は候補扱いで確定処理なし
AI-P0-002,機能要件v0.2 §6 P0,根拠・信頼度・Human in the Loop,全AI画面,全ロール,AI実行済み,AI出力を確認,参照元/該当箇所/対象年度/信頼度/推測表示があり自動確定しない,src/lib/ai/schemas.ts,TC-045,実OpenAI+DBトリガ,8UseCase全てconfidence/warnings/sources必須。AI由来Versionはapproved不可（トリガ）,PASS,,
ASSUR-P0-001,機能要件v0.2 §6 P0,監査法人テナント・チーム,/assurance/*,監査法人,-,ログイン,独立テナントで6ロールを持つ,organizations type=assurance_firm,TC-046,実Supabase,6監査法人ロールをroles.tsとDBで一致検査,PASS,,
ASSUR-P0-002,機能要件v0.2 §6 P0,保証契約管理,/assurance/engagements,監査法人,-,案件一覧,クライアント/期間/基準/保証水準/指標/組織/チーム/期限/状態を管理,engagements,TC-047,実ブラウザ,案件一覧と案件ホームで全項目を確認,PASS,,
ASSUR-P0-003,機能要件v0.2 §6 P0,保証スコープ・アクセス許諾,/enterprise/settings /assurance/.../scope,双方,-,許諾の付与・取消,企業が選択共有し監査法人は許諾範囲のみ閲覧,client_access_grants,TC-048,実Supabase+実ブラウザ,verify:supabase「付与前は不可視/付与直後から可視」+action-audit「許諾の取消と再付与」PASS,PASS,,
ASSUR-P0-004,機能要件v0.2 §6 P0,Data Room・Snapshot Freeze,/assurance/.../data-room,監査法人,許諾済み,Snapshot固定,Data Roomへ集約しSnapshotを固定。固定後変更を差分通知,assurance_snapshots,TC-049,実ブラウザ+DB,vertical-slices「10. Snapshotを新規作成できる」+変更検知PASS。Snapshot不変性をRLS/トリガで強制,PASS,,
ASSUR-P0-005,機能要件v0.2 §6 P0,監査法人向け案件Dashboard,/assurance/dashboard,監査法人,-,Dashboard表示,進捗/未受領Evidence/未完了手続/レビュー待ち/未解決指摘/期限/Snapshot後変更を表示,dashboard/page.tsx,TC-050,実ブラウザ,KPI7種を確認,PASS,,
ASSUR-P0-006,機能要件v0.2 §6 P0,母集団・完全性確認,/assurance/.../population,監査法人,Snapshot済み,母集団確認,件数/合計/抽出条件/除外/欠損/重複と完全性手続メモ,population画面,TC-051,実ブラウザ,integration「母集団（完全性）」PASS,PASS,,
ASSUR-P0-007,機能要件v0.2 §6 P0,サンプリング,/assurance/.../sampling,監査法人,母集団確定,サンプル抽出,無作為/層化/重要度/判断抽出に対応し条件・Seed・理由・母集団版を記録,sampling service,TC-052,unit+実ブラウザ,sampling.test.ts 10件（同一Seedで完全再現）+E2E PASS,PASS,,
ASSUR-P0-008,機能要件v0.2 §6 P0,保証手続・電子調書,/assurance/.../testing,監査法人,サンプル抽出済み,手続記録,手続/Evidence/再計算/照合/例外/結論/作成者/レビュー者/日付を記録,assurance_tests,TC-053,実ブラウザ+DB,vertical-slices「12. Testing三ペイン」PASS,PASS,,
ASSUR-P0-009,機能要件v0.2 §6 P0,保証レビュー用三ペイン,/assurance/.../testing,監査法人,-,連続検証,左母集団/中央データ/右Evidenceで画面遷移せず次サンプルへ,testing/page.tsx,TC-054,実ブラウザ,三ペイン構成を確認,PASS,,
ASSUR-P0-010,機能要件v0.2 §6 P0,PBC/Evidence Request,/assurance/.../requests,双方,-,依頼→回答→受領,依頼内容/対象/期限/優先度/回答/添付/受領判定/再依頼/履歴を一元管理,pbc_requests,TC-055,実ブラウザ+DB,action-audit「企業がPBCへ回答し、監査法人が受け入れられる」PASS,PASS,,内部メモは企業から不可視（E2E検証済み）
ASSUR-P0-011,機能要件v0.2 §6 P0,指摘・例外・経営者回答,/assurance/.../issues,監査法人,-,指摘作成〜解消,検出事項/影響指標/重要度/影響/根拠/企業回答/修正状況/解消判定,assurance_issues,TC-056,実ブラウザ,vertical-slices「14. Issue作成」「16. High Issue解消」PASS,PASS,,
ASSUR-P0-012,機能要件v0.2 §6 P0,レビューNote・Sign-off,/assurance/.../review-notes /signoffs,監査法人,-,Note作成→Sign-off,3段階Sign-offと未解決時の完了抑止,signoffs + blockers,TC-057,実ブラウザ,action-audit「レビューNoteを作成して解消できる」+「15. 抑止条件がある間はSign-offが実行できない」PASS,PASS,,代理Sign-off禁止をRLS/トリガで強制
ASSUR-P0-013,機能要件v0.2 §6 P0,保証履歴・Export,/assurance/.../exports,監査法人,-,案件パッケージ出力,スコープ/Snapshot/サンプル/手続/Evidence参照/依頼/指摘/Sign-off/変更履歴を出力,api/exports/engagement,TC-058,API+実ブラウザ,XLSX13シート生成。他テナント/未アサインは拒否（robustness-audit）,PASS,,PDF相当は未提供（CSV/XLSX）
ASSUR-P0-014,機能要件v0.2 §6 P0,監査AI支援の制御,/assurance/.../data-room,監査法人,-,AI要約実行,要約/差分/再計算候補/未実施手続/矛盾候補までで保証結論を自動確定しない,assuranceEvidenceSummary / assuranceChangeSummary,TC-059,実OpenAI+unit,実接続PASS。unit「監査AIが結論を出さない」PASS,PASS,,
SYS-P0-001,機能要件v0.2 §6 P0,監査ログ・追跡,/assurance/.../audit-trail,全ロール,-,各操作,ログイン/閲覧/DL/UL/更新/承認/権限変更/Snapshot/AI/Exportを追記型で保存,audit_events + トリガ,TC-060,実DB,verify:supabase「Audit Eventを更新・削除できない」PASS。E2Eで主要イベント記録を確認,PASS,,record_viewedは未記録（全画面記録は性能影響のため）
SYS-P0-002,機能要件v0.2 §6 P0,非同期ジョブ・失敗復旧,/enterprise/imports/[jobId],企業,-,取込ジョブ実行,状態/進捗/再試行/失敗理由/重複実行防止を管理,ingestion_jobs,TC-061,実ブラウザ+DB,integration「冪等キーによる重複ジョブ防止」PASS。progress/error/retry/idempotency_keyを保持,PASS,,
UX-P1-001,機能要件v0.2 §6 P1,密度・列設定の個人保存,/enterprise/data,全ロール,-,列設定を保存,ユーザー単位で密度/列幅/固定列/表示列/保存ビュー/既定フィルターを保持,table-controls.tsx（URL State）,TC-062,実ブラウザ,列表示切替はURLに保持されるがユーザー単位の永続化は無し,OUT_OF_SCOPE,,P1。機能要件§7でPhase1対象外。user_preferences.saved_viewsの器はある
UX-P1-002,機能要件v0.2 §6 P1,アクセシビリティ・多言語,全画面,全ロール,-,英語切替,WCAG対応と日英切替,axeのみ,TC-063,axe,a11yはcritical/serious 0件。多言語切替は未実装,OUT_OF_SCOPE,,P1。a11y部分は先行実装済み
ORG-P1-001,機能要件v0.2 §6 P1,多通貨・単位・タイムゾーン,-,企業,-,拠点別通貨設定,通貨/単位/日付/TZ/換算レートを管理,-,TC-064,画面探索,未実装,OUT_OF_SCOPE,,P1
SUP-P1-001,機能要件v0.2 §6 P1,サプライヤーポータル,-,サプライヤー,-,外部画面から提出,サプライヤー専用の外部画面,-,TC-065,画面探索,未実装,OUT_OF_SCOPE,,P1（known-limitations S-8）
INT-P1-001,機能要件v0.2 §6 P1,外部ストレージ・メール取込,-,企業,-,定期取込,Drive/SharePoint/Box/SFTP/メール添付から取込,-,TC-066,画面探索,未実装,OUT_OF_SCOPE,,P1
DATA-P1-001,機能要件v0.2 §6 P1,高度集計・再表示,-,企業,-,遡及修正/再表示,連結範囲変更/組織再編/基準日/原単位/換算/推計/遡及,-,TC-067,画面探索,未実装,OUT_OF_SCOPE,,P1
EVID-P1-001,機能要件v0.2 §6 P1,Evidence Library,/enterprise/evidence,企業,-,Evidence一元管理,種別/年度/拠点/テーマ/機密区分/版で管理し再利用,evidence画面,TC-068,実ブラウザ,一覧と再利用は可能。テーマ/機密区分での絞り込みは無し,OUT_OF_SCOPE,,P1。基本部分は実装済み
EVID-P1-002,機能要件v0.2 §6 P1,Evidence自動マッピング,-,企業,-,AI自動マッピング,AIが該当箇所を抽出し対応候補を提示,evidenceMapping AI UseCase,TC-069,実OpenAI,verify:openai:all で evidenceMapping 実接続PASS。画面導線は無し,OUT_OF_SCOPE,,P1。AI側は実装済み・UI未接続
WF-P1-001,機能要件v0.2 §6 P1,自動アサイン・年次タスク生成,-,企業,-,年度更新,担当提案とタスク一括生成,-,TC-070,画面探索,未実装,OUT_OF_SCOPE,,P1
DQ-P1-001,機能要件v0.2 §6 P1,高度異常検知,-,企業,-,異常候補提示,経年/同業/規模/他拠点/相関で説明可能に提示,-,TC-071,画面探索,基本検知のみ,OUT_OF_SCOPE,,P1
DQ-P1-002,機能要件v0.2 §6 P1,開示横断整合性,-,企業,-,横断照合,有報/統合報告/Web/CDP/MSCI/FTSE間を照合,-,TC-072,画面探索,未実装,OUT_OF_SCOPE,,P1
GHG-P1-001,機能要件v0.2 §6 P1,Scope1・2・係数Version,/enterprise/ghg,企業,-,係数版管理,Scope1・2と係数マスターの年度Version,emission_factors,TC-073,実ブラウザ,Scope1/2は台帳にあり係数年度も保持。切替UIは無し,OUT_OF_SCOPE,,P1
GHG-P1-002,機能要件v0.2 §6 P1,GHG Cross Check,-,企業,-,横断照合,Scope別合計/連結/開示値/CDP/SSBJ/前年差を照合,-,TC-074,画面探索,未実装,OUT_OF_SCOPE,,P1
CDP-P1-001,機能要件v0.2 §6 P1,YoY／Readiness,/enterprise/disclosures/cdp,企業,-,優先順位提示,前年差/未回答/更新必要度/Evidence充足から優先順位,CDP準備度KPI,TC-075,実ブラウザ,準備度KPIとYoY Diffはあるが優先順位提示は無し,OUT_OF_SCOPE,,P1
CDP-P1-002,機能要件v0.2 §6 P1,Scoring Readiness,-,企業,-,弱点提示,質問単位で弱点/改善候補/必要Evidence,-,TC-076,画面探索,未実装,OUT_OF_SCOPE,,P1
CDP-P1-003,機能要件v0.2 §6 P1,Guidance・条件分岐更新通知,-,企業,-,版更新検知,版更新を検知し影響質問へ通知,-,TC-077,画面探索,未実装,OUT_OF_SCOPE,,P1
